bundle_id	module	report	type	local_path	relative_path	bytes	embedded_path	embedded_bytes	status
expression.fastqc_SNF2KO_11	expression	fastqc_SNF2KO_11	FastQC	TAFFISH_RNASEQ_EXAMPLE_ROOT/rnaseq-standard-flow/tests/test-real-reference-out/03_results/report/03_results/collected_html/expression.fastqc_SNF2KO_11/index.html	../03_results/collected_html/expression.fastqc_SNF2KO_11/index.html	641680	TAFFISH_RNASEQ_EXAMPLE_ROOT/rnaseq-standard-flow/tests/test-real-reference-out/03_results/report/03_results/collected_html/expression.fastqc_SNF2KO_11/index.embedded.html	641680	embedded
expression.fastqc_SNF2KO_12	expression	fastqc_SNF2KO_12	FastQC	TAFFISH_RNASEQ_EXAMPLE_ROOT/rnaseq-standard-flow/tests/test-real-reference-out/03_results/report/03_results/collected_html/expression.fastqc_SNF2KO_12/index.html	../03_results/collected_html/expression.fastqc_SNF2KO_12/index.html	637176	TAFFISH_RNASEQ_EXAMPLE_ROOT/rnaseq-standard-flow/tests/test-real-reference-out/03_results/report/03_results/collected_html/expression.fastqc_SNF2KO_12/index.embedded.html	637176	embedded
expression.fastqc_WT_01	expression	fastqc_WT_01	FastQC	TAFFISH_RNASEQ_EXAMPLE_ROOT/rnaseq-standard-flow/tests/test-real-reference-out/03_results/report/03_results/collected_html/expression.fastqc_WT_01/index.html	../03_results/collected_html/expression.fastqc_WT_01/index.html	639960	TAFFISH_RNASEQ_EXAMPLE_ROOT/rnaseq-standard-flow/tests/test-real-reference-out/03_results/report/03_results/collected_html/expression.fastqc_WT_01/index.embedded.html	639960	embedded
expression.fastqc_WT_02	expression	fastqc_WT_02	FastQC	TAFFISH_RNASEQ_EXAMPLE_ROOT/rnaseq-standard-flow/tests/test-real-reference-out/03_results/report/03_results/collected_html/expression.fastqc_WT_02/index.html	../03_results/collected_html/expression.fastqc_WT_02/index.html	639252	TAFFISH_RNASEQ_EXAMPLE_ROOT/rnaseq-standard-flow/tests/test-real-reference-out/03_results/report/03_results/collected_html/expression.fastqc_WT_02/index.embedded.html	639252	embedded
expression.fastqc_WT_03	expression	fastqc_WT_03	FastQC	TAFFISH_RNASEQ_EXAMPLE_ROOT/rnaseq-standard-flow/tests/test-real-reference-out/03_results/report/03_results/collected_html/expression.fastqc_WT_03/index.html	../03_results/collected_html/expression.fastqc_WT_03/index.html	642872	TAFFISH_RNASEQ_EXAMPLE_ROOT/rnaseq-standard-flow/tests/test-real-reference-out/03_results/report/03_results/collected_html/expression.fastqc_WT_03/index.embedded.html	642872	embedded
expression.fastqc_WT_04	expression	fastqc_WT_04	FastQC	TAFFISH_RNASEQ_EXAMPLE_ROOT/rnaseq-standard-flow/tests/test-real-reference-out/03_results/report/03_results/collected_html/expression.fastqc_WT_04/index.html	../03_results/collected_html/expression.fastqc_WT_04/index.html	639540	TAFFISH_RNASEQ_EXAMPLE_ROOT/rnaseq-standard-flow/tests/test-real-reference-out/03_results/report/03_results/collected_html/expression.fastqc_WT_04/index.embedded.html	639540	embedded
expression.fastqc_WT_05	expression	fastqc_WT_05	FastQC	TAFFISH_RNASEQ_EXAMPLE_ROOT/rnaseq-standard-flow/tests/test-real-reference-out/03_results/report/03_results/collected_html/expression.fastqc_WT_05/index.html	../03_results/collected_html/expression.fastqc_WT_05/index.html	639568	TAFFISH_RNASEQ_EXAMPLE_ROOT/rnaseq-standard-flow/tests/test-real-reference-out/03_results/report/03_results/collected_html/expression.fastqc_WT_05/index.embedded.html	639568	embedded
expression.fastqc_WT_06	expression	fastqc_WT_06	FastQC	TAFFISH_RNASEQ_EXAMPLE_ROOT/rnaseq-standard-flow/tests/test-real-reference-out/03_results/report/03_results/collected_html/expression.fastqc_WT_06/index.html	../03_results/collected_html/expression.fastqc_WT_06/index.html	639308	TAFFISH_RNASEQ_EXAMPLE_ROOT/rnaseq-standard-flow/tests/test-real-reference-out/03_results/report/03_results/collected_html/expression.fastqc_WT_06/index.embedded.html	639308	embedded
expression.fastqc_WT_07	expression	fastqc_WT_07	FastQC	TAFFISH_RNASEQ_EXAMPLE_ROOT/rnaseq-standard-flow/tests/test-real-reference-out/03_results/report/03_results/collected_html/expression.fastqc_WT_07/index.html	../03_results/collected_html/expression.fastqc_WT_07/index.html	641036	TAFFISH_RNASEQ_EXAMPLE_ROOT/rnaseq-standard-flow/tests/test-real-reference-out/03_results/report/03_results/collected_html/expression.fastqc_WT_07/index.embedded.html	641036	embedded
expression.fastqc_WT_08	expression	fastqc_WT_08	FastQC	TAFFISH_RNASEQ_EXAMPLE_ROOT/rnaseq-standard-flow/tests/test-real-reference-out/03_results/report/03_results/collected_html/expression.fastqc_WT_08/index.html	../03_results/collected_html/expression.fastqc_WT_08/index.html	636684	TAFFISH_RNASEQ_EXAMPLE_ROOT/rnaseq-standard-flow/tests/test-real-reference-out/03_results/report/03_results/collected_html/expression.fastqc_WT_08/index.embedded.html	636684	embedded
expression.fastqc_WT_09	expression	fastqc_WT_09	FastQC	TAFFISH_RNASEQ_EXAMPLE_ROOT/rnaseq-standard-flow/tests/test-real-reference-out/03_results/report/03_results/collected_html/expression.fastqc_WT_09/index.html	../03_results/collected_html/expression.fastqc_WT_09/index.html	640692	TAFFISH_RNASEQ_EXAMPLE_ROOT/rnaseq-standard-flow/tests/test-real-reference-out/03_results/report/03_results/collected_html/expression.fastqc_WT_09/index.embedded.html	640692	embedded
expression.fastqc_WT_10	expression	fastqc_WT_10	FastQC	TAFFISH_RNASEQ_EXAMPLE_ROOT/rnaseq-standard-flow/tests/test-real-reference-out/03_results/report/03_results/collected_html/expression.fastqc_WT_10/index.html	../03_results/collected_html/expression.fastqc_WT_10/index.html	641416	TAFFISH_RNASEQ_EXAMPLE_ROOT/rnaseq-standard-flow/tests/test-real-reference-out/03_results/report/03_results/collected_html/expression.fastqc_WT_10/index.embedded.html	641416	embedded
