ID	Description	pvalue	p.adjust	ES	NES	size	leadingEdge
GO:0071038	TRAMP-dependent tRNA surveillance pathway [biological_process]	0.0689655172413793	0.485136741973841	-0.608339248331175	-1.46527682926077	16	YGR095C/YOR001W/YJL050W/YGR158C/YIL079C/YHR069C/YDR280W/YGR195W/YOL021C/YDL111C/YNL232W
GO:0110136	protein-RNA complex remodeling [biological_process]	0.0686456400742115	0.485136741973841	-0.873784691532615	-1.39521456739951	3	YCR072C/YOR272W/YLR106C
GO:0015848	spermidine transport [biological_process]	0.0693430656934307	0.485401459854015	-0.785810414574186	-1.46733929973937	5	YOR273C/YJR059W/YLL028W
GO:0043335	protein unfolding [biological_process]	0.0701754385964912	0.487934772363088	-0.719636758541211	-1.51403194953989	8	YJR045C/YER036C/YLL026W/YFR009W
GO:0030970	retrograde protein transport, ER to cytosol [biological_process]	0.0703883495145631	0.487934772363088	0.608092929759824	1.46327456615531	9	YLR378C/YGR048W/YDR057W/YOL013C
GO:0042759	long-chain fatty acid biosynthetic process [biological_process]	0.0715596330275229	0.491284403669725	-0.819601671637243	-1.42449383468111	4	YKL182W/YPL231W
GO:0048211	Golgi vesicle docking [biological_process]	0.0712742980561555	0.491284403669725	0.83495404798791	1.37843512429275	3	YDL058W/YKL179C
GO:0044879	mitotic morphogenesis checkpoint signaling [biological_process]	0.0723981900452489	0.492307692307692	0.669919126633518	1.49348462930718	7	YDR507C/YCL024W/YER155C/YGL021W
GO:0009423	chorismate biosynthetic process [biological_process]	0.0723562152133581	0.492307692307692	-0.870797236488592	-1.39044435245153	3	YBR249C/YDR127W
GO:0000448	cleavage in ITS2 between 5.8S rRNA and LSU-rRNA of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [biological_process]	0.0745762711864407	0.504715238171741	-0.686998586180313	-1.48097157966423	9	YJL177W/YKL180W/YDR500C/YLL035W/YGL246C
GO:0000725	recombinational repair [biological_process]	0.0784810126582279	0.522217928902628	0.554579020738501	1.46722280668513	13	YOL034W/YIR002C/YPL194W/YDR113C/YLR376C/YLR320W/YJR144W/YDR334W/YHL006C
GO:0030950	establishment or maintenance of actin cytoskeleton polarity [biological_process]	0.0801033591731266	0.522217928902628	0.540247484804975	1.46427113213554	14	YNL161W/YMR200W/YIL041W/YKL203C/YNL047C/YMR068W/YJL058C
GO:0071035	nuclear polyadenylation-dependent rRNA catabolic process [biological_process]	0.0819165378670788	0.522217928902628	-0.579758426383551	-1.42616610289712	18	YGR095C/YOR001W/YJL050W/YGR158C/YIL079C/YHR069C/YDR280W/YOL021C/YGL246C
GO:0071465	cellular response to desiccation [biological_process]	0.0797773654916512	0.522217928902628	-0.863001590949267	-1.37799666559669	3	YGR008C/YDR001C/YBR126C
GO:0006567	L-threonine catabolic process [biological_process]	0.0816326530612245	0.522217928902628	-0.860703553120028	-1.37432727668789	3	YCL064C/YEL046C/YER086W
GO:0060188	regulation of protein desumoylation [biological_process]	0.0816326530612245	0.522217928902628	-0.860181425434076	-1.37349356998583	3	YMR308C/YLR347C
GO:0033260	nuclear DNA replication [biological_process]	0.0787746170678337	0.522217928902628	0.763492762307113	1.36804695475739	4	YPR019W/YBR202W
GO:0006430	lysyl-tRNA aminoacylation [biological_process]	0.0794573643410853	0.522217928902628	-0.916401555319901	-1.36786543611084	2	YDR037W/YNL073W
GO:0060256	regulation of flocculation [biological_process]	0.0813953488372093	0.522217928902628	-0.914006974047713	-1.36429116789057	2	YHR030C
GO:0002183	cytoplasmic translational initiation [biological_process]	0.0813953488372093	0.522217928902628	-0.913573700954401	-1.36364444344396	2	YMR146C/YOR361C
GO:0006426	glycyl-tRNA aminoacylation [biological_process]	0.0780287474332649	0.522217928902628	0.882562913695913	1.32730577274088	2	YPR081C
