tx_id	gene_id
YBR057C_id001	YBR057C
YBR058C_id001	YBR058C
YBR058C_id002	YBR058C
YBR058C-A_id001	YBR058C-A
YBR058C-A_id007	YBR058C-A
YBR059C_id001	YBR059C
YBR059C_id004	YBR059C
YBR060C_id002	YBR060C
YBR060C_id001	YBR060C
YBR061C_id001	YBR061C
YBR061C_id003	YBR061C
YBR062C_id001	YBR062C
YBR062C_id003	YBR062C
YBR063C_id001	YBR063C
YBR063C_id003	YBR063C
YBR064W_mRNA	YBR064W
YBR065C_id001	YBR065C
YBR065C_id002	YBR065C
YBR066C_id001	YBR066C
YBR066C_id002	YBR066C
YBR067C_id001	YBR067C
YBR067C_id002	YBR067C
YBR068C_id002	YBR068C
YBR068C_id001	YBR068C
YBR069C_id001	YBR069C
YBR069C_id006	YBR069C
YBR070C_id001	YBR070C
YBR070C_id002	YBR070C
YBR071W_id001	YBR071W
YBR071W_id002	YBR071W
YBR072W_id002	YBR072W
YBR072W_id001	YBR072W
YBR072C-A_mRNA	YBR072C-A
YBR073W_mRNA	YBR073W
YBR074W_id002	YBR074W
YBR074W_id001	YBR074W
YBR076C-A_id001	YBR076C-A
YBR076C-A_id011	YBR076C-A
YBR076W_mRNA	YBR076W
YBR077C_id002	YBR077C
YBR077C_id001	YBR077C
YBR078W_id001	YBR078W
YBR078W_id003	YBR078W
YBR079C_id001	YBR079C
YBR079C_id003	YBR079C
YBR080C_id001	YBR080C
YBR080C_id002	YBR080C
YBR081C_mRNA	YBR081C
YBR082C_id002	YBR082C
YBR082C_id001	YBR082C
YBR083W_id001	YBR083W
YBR083W_id002	YBR083W
YBR084W_id001	YBR084W
YBR084W_id002	YBR084W
YBR084C-A_id004	YBR084C-A
YBR084C-A_id001	YBR084C-A
YBR085W_id001	YBR085W
YBR085W_id011	YBR085W
YBR085C-A_id001	YBR085C-A
YBR085C-A_id004	YBR085C-A
YBR086C_id002	YBR086C
YBR086C_id001	YBR086C
YBR087W_id001	YBR087W
YBR087W_id003	YBR087W
YBR088C_id002	YBR088C
YBR088C_id001	YBR088C
YBR089W_id002	YBR089W
YBR089W_id001	YBR089W
YBR089C-A_id001	YBR089C-A
YBR089C-A_id002	YBR089C-A
YBR090C_mRNA	YBR090C
YBR091C_id001	YBR091C
YBR091C_id004	YBR091C
YBR092C_id001	YBR092C
YBR092C_id002	YBR092C
YBR093C_id002	YBR093C
YBR093C_id001	YBR093C
YBR094W_id003	YBR094W
YBR094W_id001	YBR094W
YBR095C_id003	YBR095C
YBR095C_id001	YBR095C
YBR096W_id002	YBR096W
YBR096W_id001	YBR096W
YBR097W_mRNA	YBR097W
YBR098W_id001	YBR098W
YBR098W_id002	YBR098W
YBR099C_id001	YBR099C
YBR101C_id001	YBR101C
YBR101C_id003	YBR101C
YBR102C_id001	YBR102C
YBR102C_id003	YBR102C
YBR103W_id001	YBR103W
YBR103W_id002	YBR103W
YBR103C-A_id001	YBR103C-A
YBR104W_id001	YBR104W
YBR104W_id002	YBR104W
YBR105C_id001	YBR105C
YBR105C_id002	YBR105C
YBR106W_id001	YBR106W
YBR106W_id003	YBR106W
YBR107C_id005	YBR107C
YBR107C_id001	YBR107C
YBR108W_id001	YBR108W
YBR108W_id003	YBR108W
YBR109C_id006	YBR109C
YBR109C_id001	YBR109C
YBR109W-A_id001	YBR109W-A
YBR109W-A_id002	YBR109W-A
YBR110W_id002	YBR110W
YBR110W_id001	YBR110W
YBR111C_id001	YBR111C
YBR111W-A_id001	YBR111W-A
YBR111W-A_id005	YBR111W-A
YBR112C_id001	YBR112C
YBR112C_id002	YBR112C
YBR113W_mRNA	YBR113W
YBR114W_id001	YBR114W
YBR114W_id002	YBR114W
YBR115C_id001	YBR115C
YBR116C_mRNA	YBR116C
YBR117C_mRNA	YBR117C
YBR118W_id001	YBR118W
YBR118W_id002	YBR118W
YBR119W_id003	YBR119W
YBR119W_id001	YBR119W
YBR120C_id002	YBR120C
YBR120C_id001	YBR120C
YBR121C-A_id001	YBR121C-A
YBR121C-A_id002	YBR121C-A
YBR121C_id001	YBR121C
YBR122C_id004	YBR122C
YBR122C_id001	YBR122C
YBR123C_id002	YBR123C
YBR123C_id001	YBR123C
YBR124W_mRNA	YBR124W
YBR125C_id002	YBR125C
YBR125C_id001	YBR125C
YBR126C_id001	YBR126C
YBR126C_id004	YBR126C
YBR126W-A_mRNA	YBR126W-A
YBR126W-B_id002	YBR126W-B
YBR126W-B_id001	YBR126W-B
