gene_id	SNF2KO_01	SNF2KO_02	SNF2KO_03	SNF2KO_04	SNF2KO_05	SNF2KO_06	SNF2KO_07	SNF2KO_08	SNF2KO_09	SNF2KO_10	SNF2KO_11	SNF2KO_12	WT_01	WT_02	WT_03	WT_04	WT_05	WT_06	WT_07	WT_08	WT_09	WT_10	WT_11	WT_12
YML106W	222.11184	157.13332	178.384058	137.46533	226.769538	231.634368	234.419133	172.921782	213.641708	208.328927	209.861982	249.969515	270.62334	291.114072	222.021098	325.358462	283.668118	324.758617	287.514896	255.342185	219.61219	220.904384	222.458019	233.234506
YML107C	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YML108W	43.578545	20.367807	22.02725	26.031598	40.507101	30.820524	50.769175	28.521421	21.500052	36.7603	33.508221	38.527281	16.425716	30.822833	31.997404	32.359506	40.987332	64.272328	33.418912	23.79497	20.325737	20.796987	27.101401	27.195765
YML109W	11.970122	6.662723	9.668338	8.846502	12.297201	8.073566	12.178749	15.007064	10.10296	12.094951	15.038857	8.079023	7.3056	5.049331	2.334056	6.851712	7.743298	10.425826	10.230138	7.397628	5.808246	6.960749	4.885206	8.688672
YML110C	124.556373	76.638035	106.769478	79.167261	101.78654	120.076049	101.018451	94.09639	110.168096	73.036993	105.30924	127.662476	70.132248	73.813678	75.74072	82.778507	122.475197	115.22635	71.531712	97.552565	73.227595	86.149228	68.427167	93.720333
YML111W	33.091663	10.689628	24.868354	17.002895	20.03559	22.639859	21.166071	17.72188	24.956174	14.313451	27.663559	15.901785	15.953692	14.306476	19.977158	22.169164	29.116034	34.639926	26.461566	16.463103	19.847027	20.74757	15.812347	20.393961
YML112W	59.634342	39.663634	38.243419	18.390538	36.952782	41.196406	32.222622	38.049627	28.958026	27.429351	42.276788	22.197673	31.409967	37.711167	37.052782	29.480026	38.413638	31.44453	30.854329	38.392598	16.135876	36.604537	21.542191	36.716123
YML113W	8.154083	16.938954	17.597239	20.446252	28.421591	20.525805	24.39478	22.545051	14.529019	26.090538	20.275603	10.054388	11.819418	39.937807	12.576539	16.123769	18.791325	25.797349	27.260308	11.047666	16.914444	11.261498	17.56348	22.089618
YML114C	36.369969	26.492773	23.671477	23.450707	47.085965	43.992535	56.198037	37.571326	39.34549	43.936601	55.553569	33.314149	25.104095	37.015298	38.498274	35.958731	38.581812	31.611236	37.221487	25.811408	21.555468	32.290771	30.216494	56.301237
YML115C	88.460733	72.58768	121.031513	53.147303	81.596746	97.154421	68.79836	88.28831	67.241741	98.109047	72.724062	101.809634	47.001603	50.409854	53.839573	69.201034	53.147181	58.896012	54.070033	49.290259	50.310314	62.25923	50.083035	65.443654
YML116W	33.56985	21.34653	24.747244	18.340802	23.655714	25.107525	15.833872	20.033313	25.454874	27.359518	21.99641	25.451329	36.445458	15.317755	11.379602	12.147366	39.46137	22.250838	15.283239	26.839676	9.061722	19.230889	20.678285	36.675575
YML116W-A	149.827683	99.831956	141.7251	84.666276	117.74672	123.526631	133.090175	107.537265	97.136961	117.774401	160.954777	140.513964	88.460217	88.233366	89.649514	95.666169	155.666427	78.747543	77.078806	97.233844	80.882814	78.880372	84.721992	89.911329
YML117W	21.863827	5.395635	15.085631	9.423313	16.559377	12.264663	12.602663	10.078378	10.791013	11.578173	15.819919	10.688394	22.191376	16.494955	16.309541	13.676218	22.526643	8.151161	20.444533	8.255491	18.060294	22.293748	10.545107	19.140493
YML118W	18.682205	12.699356	16.724447	6.662453	16.207158	16.670838	16.051044	13.110133	9.986436	13.663374	19.507803	23.47417	12.184112	8.873056	15.570743	8.619783	19.37636	5.455044	8.028983	8.999761	9.041069	9.029205	8.449192	15.180803
YML119W	41.530296	18.390549	35.536791	19.151567	29.284086	22.284778	28.648971	32.780638	38.28957	22.256444	22.790068	25.427872	22.141991	28.056668	35.688728	29.733617	36.66965	32.063537	29.727488	29.750823	13.663167	22.415359	13.572352	21.16112
YML120C	89.055838	42.970012	49.100795	37.527138	80.518892	78.133708	74.649369	56.733223	61.821162	35.244414	48.306541	66.397096	80.397099	44.050151	58.523327	62.913621	121.107596	45.79408	49.434763	93.660809	45.765642	80.627021	47.04932	54.915275
YML121W	44.041216	15.58458	47.469133	19.543004	55.971056	51.959129	26.90435	50.224314	36.706534	54.085824	0	42.730036	33.498566	39.487926	34.723727	56.249029	36.500286	39.987973	24.509268	37.948295	30.424471	45.332297	28.423836	39.720781
YML122C	0	0	0	0	0	35.388619	0	0	6.717273	20.446559	34.712175	0	0	0	0	0	0	0	0	0	0	0	0	0
YML123C	0	0	17.104325	0	0	17.197137	0	0	0	9.163673	26.806193	0	491.575544	348.257021	356.450508	389.7661	384.625132	480.73035	435.166228	379.133614	417.070057	367.869977	408.114626	444.561443
YML124C	227.868411	186.275154	199.099313	144.018285	218.369943	205.72455	204.013073	192.527146	194.669092	226.869521	263.895531	247.872085	170.427383	127.869059	156.121028	179.276715	196.619582	147.373558	190.818727	145.267651	174.10718	145.137729	133.125689	150.666506
YML125C	140.303229	127.501347	198.663735	85.414181	142.968654	154.701087	167.706734	120.00879	117.534281	149.323204	214.022016	218.962229	123.438991	152.716477	164.86109	171.843211	152.756412	203.849396	208.024157	128.745746	135.142189	98.331527	130.482754	187.036932
YML126C	148.283272	125.55375	167.232775	96.97238	140.856109	153.631529	131.99936	149.715659	177.109453	187.698648	197.728469	194.494182	177.933973	133.501139	208.274563	206.215906	203.615259	231.590206	182.105975	161.900269	154.734814	162.033296	143.201097	181.388426
YML127W	49.143747	38.739194	36.174339	29.718796	55.081357	56.330738	44.186284	41.808152	35.636824	55.217282	47.606606	36.076157	39.64528	31.550619	50.66487	53.107895	52.67591	43.389134	46.941378	29.936562	35.722207	34.725099	26.510535	38.169687
YML128C	153.298756	70.768104	81.687006	78.912736	111.955452	76.843924	105.277199	62.102922	94.301474	84.532071	106.490131	80.410611	99.934783	54.405131	90.149734	72.173997	143.30642	62.771213	81.349276	96.706324	86.738968	109.780171	57.900401	107.867585
YML129C	388.451475	204.940434	230.064463	181.407895	149.008672	253.980924	306.498512	241.294132	247.195114	242.384315	300.504453	225.044511	321.75081	236.108193	268.411093	219.462413	265.243798	216.080359	269.925737	300.742014	397.918664	289.531716	254.995707	291.553208
YML130C	62.693413	32.786872	65.519013	35.472269	33.61878	59.236838	42.173604	40.001478	49.112792	44.918922	44.10278	71.357636	35.90021	51.535482	46.61834	68.721883	44.188358	61.829828	56.429003	28.143813	36.460248	49.653274	42.589054	51.070289
YML131W	67.748393	41.191502	39.622493	35.883088	50.683996	42.784979	51.71687	42.172457	41.641879	36.400144	30.993209	45.63977	55.887238	30.832717	32.068692	32.674305	59.235588	32.17078	25.253553	46.268017	28.728171	39.556515	20.881364	27.672109
YML133C	0	1.896696	8.781081	2.58926	13.332469	0	0	13.740208	9.566218	1.750546	0	0	6.678236	0	6.666472	9.150267	20.247092	6.847858	12.777775	0	0	8.538403	3.890167	0
YMR001C	24.806504	13.020232	25.379387	15.36689	24.594401	13.523389	19.644113	23.740632	21.363551	22.678034	20.560938	21.0506	19.035381	22.090825	10.722072	27.590591	27.101542	34.356244	18.815661	12.69689	12.95965	16.749303	9.261537	20.213477
YMR001C-A	0	0	0	0	0	0	131.058894	0	0	0	0	0	0	0	0	0	145.823942	0	0	0	0	0	0	0
YMR002W	321.715659	217.546571	251.665177	196.036183	294.206535	299.23571	234.053411	271.486557	273.103993	258.869706	299.341624	299.437958	280.80071	242.597426	243.020355	231.163272	294.966854	303.467867	233.254655	269.496093	325.72707	188.960807	286.125055	214.968362
YMR003W	25.28798	9.272546	14.716926	14.090947	19.966423	42.437319	38.79728	17.927742	10.935821	19.265165	12.576007	24.945064	8.14559	31.778537	23.421814	0	18.858677	50.865316	38.684363	3.806861	3.885643	8.476396	10.893804	8.303731
YMR004W	49.187038	38.108758	68.952143	35.419517	60.958093	55.41402	46.439169	36.480239	59.55155	42.660665	57.703545	63.449282	36.567368	29.201542	28.035201	31.173638	47.795555	49.109173	30.117134	43.288623	23.254987	38.445523	29.338995	39.757256
