gene_id	log2FoldChange	padj
TRINITY_DN1068_c0_g1_i1	-1.39554447317253	0.000686433650904864
TRINITY_DN2863_c0_g1_i1	-1.0303715942856	0.000732169143108274
TRINITY_DN3220_c0_g1_i1	-1.34555123379976	0.000758139419460445
TRINITY_DN6040_c0_g1_i1	-1.65747931127212	0.000826989138051961
TRINITY_DN4671_c0_g1_i1	-1.63628580621622	0.000852411088012815
TRINITY_DN9367_c0_g1_i1	-2.88370329732628	0.000928594243846279
TRINITY_DN7243_c0_g1_i1	-2.37740757006807	0.000956514693215668
TRINITY_DN3939_c0_g1_i1	-2.65646288627892	0.00102714990275021
TRINITY_DN2046_c0_g1_i1	-1.86060867002474	0.00103811033326454
TRINITY_DN2614_c0_g1_i1	-1.99314622936389	0.00121987344883502
TRINITY_DN1825_c0_g1_i1	-1.0649654533675	0.00125054124951549
TRINITY_DN6023_c0_g1_i1	-1.30461621712849	0.00125126965638858
TRINITY_DN2771_c0_g1_i1	-1.09968176828105	0.00129547284008853
TRINITY_DN1144_c0_g1_i1	-2.67757721191795	0.00140782105007244
TRINITY_DN3800_c0_g1_i1	-2.74326854399326	0.00148356090464013
TRINITY_DN2015_c0_g1_i1	-1.15448819734794	0.00164427311871534
TRINITY_DN6345_c0_g1_i1	-1.13904898646818	0.00171323638369485
TRINITY_DN915_c0_g1_i1	-1.84285157227393	0.00173182992441364
TRINITY_DN6259_c0_g1_i1	-1.30097008438186	0.00173252120599518
TRINITY_DN8202_c0_g1_i1	-1.3513918252552	0.00175993524870631
TRINITY_DN9199_c0_g1_i1	-1.55158916224306	0.00178529451652374
TRINITY_DN1840_c0_g1_i1	-1.06994913705656	0.00180893062101167
TRINITY_DN4796_c0_g1_i1	-1.62582741252127	0.00193974571395657
TRINITY_DN5592_c0_g1_i1	-1.34538015990736	0.00198695451513804
TRINITY_DN1329_c0_g1_i1	-2.32924676057986	0.00211502335416435
TRINITY_DN3153_c0_g1_i1	-2.66805211328961	0.00215404773939978
TRINITY_DN6641_c0_g1_i1	-1.03162093300079	0.00235095283905261
TRINITY_DN1107_c0_g1_i1	-1.16346782514156	0.00239696734771872
TRINITY_DN5307_c0_g1_i1	-1.2485123256683	0.00240826454266821
TRINITY_DN3236_c0_g1_i1	-2.77665372950145	0.00241145181783067
TRINITY_DN2691_c0_g1_i1	-1.65851948241772	0.00244009726955998
TRINITY_DN9371_c0_g1_i1	-1.13190230165158	0.00252939608132283
TRINITY_DN2325_c0_g1_i1	-1.39813246563713	0.00252994525452402
TRINITY_DN598_c0_g1_i1	-1.19458842880459	0.00255005109789261
TRINITY_DN4340_c0_g1_i1	-1.0587716674949	0.00257773235537736
TRINITY_DN7763_c0_g1_i1	-2.59985137706852	0.00273838776298782
TRINITY_DN7422_c0_g1_i1	-1.28344742173713	0.0027739223772925
