transcript_id	SNF2KO_01	SNF2KO_02	SNF2KO_03	SNF2KO_04	SNF2KO_05	SNF2KO_06	SNF2KO_07	SNF2KO_08	SNF2KO_09	SNF2KO_10	SNF2KO_11	SNF2KO_12	WT_01	WT_02	WT_03	WT_04	WT_05	WT_06	WT_07	WT_08	WT_09	WT_10	WT_11	WT_12
TRINITY_DN5351_c0_g1_i1	6.38753385755717	6.2824572235563	6.26132508904781	6.42829465359807	6.35701007100145	6.52950654992342	6.64924269394418	6.54446971944615	6.39295860253805	6.47956068031987	6.31685814500886	6.3510877516354	6.56738591295045	6.22398496813983	6.30225141696081	6.35514481614078	6.37103214073	6.33010451225888	6.2686556564094	6.7795102021521	6.51013611436416	6.00173448131488	6.85341629362724	6.25835714503689
TRINITY_DN6652_c0_g1_i1	6.02394138971154	5.75105794061805	5.91982023345774	6.14034733613207	5.92391484685024	5.98601338391279	5.98397346106072	5.81957988742651	6.02836555909537	5.70143094631075	5.73512920069401	5.82555732757398	5.87719702599524	5.8305362431829	5.93695348457756	6.1164760841755	6.15014284340013	5.78811694977906	5.97022260408099	5.97777083930625	5.62327680893028	6.2914568446042	5.54445292072423	5.92631891684925
TRINITY_DN8164_c0_g1_i1	4.84861756544769	4.73370995431801	4.93487163740233	4.97589873680544	5.04149898616526	4.93427870144586	4.60274299775906	4.87850403917735	5.10316699725828	4.15673909997839	4.80178977000694	4.92348729549027	4.51359002812641	5.05994250386311	4.51400841696821	4.82767369135178	4.72252987629597	5.09408007001011	4.64594778927738	4.87152044398876	5.07823091366206	4.66363596898844	5.22227903882027	4.75789313827693
TRINITY_DN2186_c0_g1_i1	6.12036016767364	6.24419824991563	6.50200701622187	6.72114761966042	6.493549503201	6.31169553321702	6.57048518975335	6.25105842107578	6.4550379121771	6.76291968662559	6.35094399632404	6.38261335203442	6.4779831135196	6.52445536025975	6.55228853173087	6.39098485345441	6.17006756746323	6.75187446748923	6.45881613408087	6.33795666699569	6.28566775999811	6.50992044886799	6.43831613641356	6.48751189560569
TRINITY_DN109_c1_g1_i1	6.43206193424853	6.58433650492231	6.47233869961899	6.24360183774252	6.32464655178988	6.36149107139281	6.42798648030816	6.21399193446001	6.25924331958602	6.41492891380061	6.5959805726702	6.54373748585671	6.74539973509181	6.09056533978049	6.25918404130132	6.15946296242171	6.42086756975343	5.89661612471918	5.94402119165708	6.68597211248793	6.96239085661117	6.71343750627695	6.99252967141744	6.71293876836207
TRINITY_DN1642_c0_g1_i1	4.15673909997839	4.49132740754803	4.60959799056113	4.7398083888809	4.60428741842039	4.60924746707982	4.15673909997839	4.48220832667526	4.60907766045292	4.62223838733948	4.61474191946321	4.47282719887076	4.66013247864372	4.64510950713249	4.15673909997839	4.15673909997839	4.48478876340636	4.15673909997839	4.15673909997839	4.5168606814949	4.81377242261489	4.77599191424616	4.15673909997839	4.64875024879431
TRINITY_DN8278_c0_g1_i1	4.46852313241284	4.49132740754803	4.60959799056113	4.7398083888809	4.60428741842039	4.15673909997839	4.15673909997839	4.80362610662811	4.60907766045292	4.15673909997839	4.61474191946321	4.15673909997839	4.51359002812641	4.64510950713249	4.15673909997839	4.63327900801667	4.80869127210448	4.15673909997839	4.15673909997839	4.15673909997839	4.69473010931346	4.15673909997839	4.15673909997839	4.75789313827693
TRINITY_DN370_c0_g1_i1	6.1016596596705	6.18459405185841	6.05122809099742	6.14034733613207	6.18647829280987	5.94148292649613	6.19844925515936	6.09587810028434	6.12971514714483	6.0764594514044	6.11141920869423	5.84958112621658	6.01707575311464	6.04276857644234	6.12060121948222	5.73513060102672	6.12990090907639	6.06583803321876	5.99587600065511	5.76557840363667	5.98329102599718	6.2914568446042	5.99477294719931	6.31950662761861
TRINITY_DN6681_c0_g1_i1	7.29848362714323	7.68408966960212	7.47815725202415	7.11593830925813	7.33758282099784	7.8215765110461	7.33731141479219	6.93560873561994	7.32268330311809	7.82781674255923	7.62355666251288	7.53331741553841	8.01231414754606	7.65271434856686	8.19451226185426	7.65114506623863	8.35071929103766	7.42824909457194	7.45696295670543	8.29435996838519	8.37526398138327	8.19299145016033	8.56864474811834	8.11636558950831
TRINITY_DN1267_c0_g1_i1	5.7558842917504	5.75105794061805	6.00896282939927	6.09658178251685	5.98961336943098	5.68998223973736	5.96251494979661	6.26920019601589	6.25924331958602	6.0101531023279	5.70714167303887	6.02627350461861	5.90648949604267	6.6525501218912	6.21463397725823	6.60296094523873	6.08841885671898	6.68309145759339	6.56104699445228	5.27062827582867	6.64741124262802	6.05487359520804	5.99477294719931	6.10325634075509
